Feature,layer,n_methods,wgcna_supported,wgcna_is_hub,wgcna_module,wgcna_module_trait_correlation,wgcna_module_trait_p_value,wgcna_hub_score,integrated_evidence_score,methods
19_F16DP_0.0 : Conc. (nM),central_carbon,4,False,False,,,,,4,"central_carbon_splsda, central_carbon_rf, central_carbon_ordinal, diablo_central_carbon"
48_SUCC_0.0 : Conc. (nM),central_carbon,4,False,False,,,,,4,"central_carbon_splsda, central_carbon_rf, central_carbon_ordinal, diablo_central_carbon"
54_UTP0.0 : Conc. (nM),central_carbon,4,False,False,,,,,4,"central_carbon_splsda, central_carbon_rf, central_carbon_ordinal, diablo_central_carbon"
47_SHIK 0.0 : Conc. (nM),central_carbon,4,False,False,,,,,4,"central_carbon_splsda, central_carbon_rf, central_carbon_ordinal, diablo_central_carbon"
GLU,amino_acids,4,False,False,,,,,4,"amino_acids_splsda, amino_acids_rf, amino_acids_ordinal, diablo_amino_acids"
GLY,amino_acids,4,False,False,,,,,4,"amino_acids_splsda, amino_acids_rf, amino_acids_ordinal, diablo_amino_acids"
VAL,amino_acids,4,False,False,,,,,4,"amino_acids_splsda, amino_acids_rf, amino_acids_ordinal, diablo_amino_acids"
ASP,amino_acids,4,False,False,,,,,4,"amino_acids_splsda, amino_acids_rf, amino_acids_ordinal, diablo_amino_acids"
GABA,amino_acids,4,False,False,,,,,4,"amino_acids_splsda, amino_acids_rf, amino_acids_ordinal, diablo_amino_acids"
SER,amino_acids,4,False,False,,,,,4,"amino_acids_splsda, amino_acids_rf, amino_acids_ordinal, diablo_amino_acids"
TYR,amino_acids,4,False,False,,,,,4,"amino_acids_splsda, amino_acids_rf, amino_acids_ordinal, diablo_amino_acids"
"2,4-Hexadienal Area",aromatics,4,False,False,,,,,4,"aromatics_splsda, aromatics_rf, aromatics_ordinal, diablo_aromatics"
Hexanal Area,aromatics,4,False,False,,,,,4,"aromatics_splsda, aromatics_rf, aromatics_ordinal, diablo_aromatics"
A0A804JSQ2,proteomics,3,True,False,2.0,-0.9486832980505138,9.584590571929182e-05,0.6789288615946952,4,"proteomics_splsda, proteomics_ordinal, diablo_proteomics"
15_CMP 0.0 : Conc. (nM),central_carbon,3,False,False,,,,,3,"central_carbon_splsda, central_carbon_ordinal, diablo_central_carbon"
13_ATP_0.0 : Conc. (nM),central_carbon,3,False,False,,,,,3,"central_carbon_splsda, central_carbon_ordinal, diablo_central_carbon"
28_GMP 0.0 : Conc. (nM),central_carbon,3,False,False,,,,,3,"central_carbon_splsda, central_carbon_ordinal, diablo_central_carbon"
21_FUM_0.0 : Conc. (nM),central_carbon,3,False,False,,,,,3,"central_carbon_splsda, central_carbon_rf, diablo_central_carbon"
ILE,amino_acids,3,False,False,,,,,3,"amino_acids_splsda, amino_acids_rf, diablo_amino_acids"
PRO,amino_acids,3,False,False,,,,,3,"amino_acids_splsda, amino_acids_ordinal, diablo_amino_acids"
LEU,amino_acids,3,False,False,,,,,3,"amino_acids_splsda, amino_acids_ordinal, diablo_amino_acids"
PHE,amino_acids,3,False,False,,,,,3,"amino_acids_splsda, amino_acids_rf, diablo_amino_acids"
ALA,amino_acids,3,False,False,,,,,3,"amino_acids_splsda, amino_acids_rf, diablo_amino_acids"
35_NAD 0.0 : Conc. (nM),central_carbon,3,False,False,,,,,3,"central_carbon_splsda, central_carbon_rf, diablo_central_carbon"
32_KGA_0.0 : Conc. (nM),central_carbon,3,False,False,,,,,3,"central_carbon_splsda, central_carbon_ordinal, diablo_central_carbon"
GLN,amino_acids,3,False,False,,,,,3,"amino_acids_splsda, amino_acids_ordinal, diablo_amino_acids"
ASN,amino_acids,3,False,False,,,,,3,"amino_acids_splsda, amino_acids_rf, diablo_amino_acids"
A0A4S8KI46;A0A4S8KI46;A0A804IZ24,proteomics,3,False,False,0.0,,,,3,"proteomics_splsda, proteomics_ordinal, diablo_proteomics"
1-Heptanol Area,aromatics,3,False,False,,,,,3,"aromatics_splsda, aromatics_ordinal, diablo_aromatics"
2-Nonanol Area,aromatics,3,False,False,,,,,3,"aromatics_splsda, aromatics_rf, diablo_aromatics"
Isoamyl alcohol Area,aromatics,3,False,False,,,,,3,"aromatics_splsda, aromatics_rf, diablo_aromatics"
DHAP_0.0 : Conc. (nM),central_carbon,3,False,False,,,,,3,"central_carbon_splsda, central_carbon_ordinal, diablo_central_carbon"
11_AMP 0.0 : Conc. (nM),central_carbon,3,False,False,,,,,3,"central_carbon_splsda, central_carbon_ordinal, diablo_central_carbon"
A0A4S8I4C7;A0A4S8I4C7;A0A4S8I522;A0A4S8I522;A0A4S8I6F1;A0A4S8I6F1;A0A4S8I6L8;A0A4S8I6L8,proteomics,2,True,False,2.0,-0.9486832980505138,9.584590571929182e-05,0.7064388795796789,3,"proteomics_splsda, diablo_proteomics"
LYS,amino_acids,2,False,False,,,,,2,"amino_acids_rf, amino_acids_ordinal"
CYS,amino_acids,2,False,False,,,,,2,"amino_acids_splsda, diablo_amino_acids"
2_3PG_0.0 : Conc. (nM),central_carbon,2,False,False,,,,,2,"central_carbon_rf, central_carbon_ordinal"
33_LAC_0.0 : Conc. (nM),central_carbon,2,False,False,,,,,2,"central_carbon_splsda, diablo_central_carbon"
44_R5P_0.0 : Conc. (nM),central_carbon,2,False,False,,,,,2,"central_carbon_splsda, diablo_central_carbon"
55_X5P_0.0 : Conc. (nM),central_carbon,2,False,False,,,,,2,"central_carbon_splsda, diablo_central_carbon"
53_UMP 0.0 : Conc. (nM),central_carbon,2,False,False,,,,,2,"central_carbon_rf, central_carbon_ordinal"
3-Pentanone Area,aromatics,2,False,False,,,,,2,"aromatics_splsda, diablo_aromatics"
2-Methyl-1-butanol Area,aromatics,2,False,False,,,,,2,"aromatics_splsda, diablo_aromatics"
2-Pentanone Area,aromatics,2,False,False,,,,,2,"aromatics_splsda, diablo_aromatics"
Hexyl acetate Area,aromatics,2,False,False,,,,,2,"aromatics_splsda, diablo_aromatics"
Propyl butyrate Area,aromatics,2,False,False,,,,,2,"aromatics_splsda, diablo_aromatics"
(Z)-2-Penten-1-ol Area,aromatics,2,False,False,,,,,2,"aromatics_splsda, diablo_aromatics"
"(2E,6Z)-nona-2,6-dienal Area",aromatics,2,False,False,,,,,2,"aromatics_splsda, diablo_aromatics"
THR,amino_acids,2,False,False,,,,,2,"amino_acids_rf, amino_acids_ordinal"
MET,amino_acids,2,False,False,,,,,2,"amino_acids_rf, amino_acids_ordinal"
1-Hexanol Area,aromatics,2,False,False,,,,,2,"aromatics_splsda, diablo_aromatics"
1-Butanol Area,aromatics,2,False,False,,,,,2,"aromatics_splsda, diablo_aromatics"
A0A4S8JIE0;A0A4S8JIE0,proteomics,2,False,False,0.0,,,,2,"proteomics_splsda, diablo_proteomics"
(3Z)-3-Hexenyl acetate Area,aromatics,2,False,False,,,,,2,"aromatics_splsda, diablo_aromatics"
A0A4S8JJ79;A0A4S8JJ79;A0A804JTL2;A0A804JTL3,proteomics,2,False,False,0.0,,,,2,"proteomics_splsda, diablo_proteomics"
A0A4S8KCV5;A0A4S8KCV5,proteomics,2,False,False,0.0,,,,2,"proteomics_splsda, diablo_proteomics"
A0A804IBQ9;A0A804IBR0,proteomics,2,False,False,0.0,,,,2,"proteomics_splsda, diablo_proteomics"
A0A4S8ID85;A0A4S8ID85,proteomics,2,False,False,0.0,,,,2,"proteomics_splsda, diablo_proteomics"
A0A804IK01,proteomics,2,False,False,0.0,,,,2,"proteomics_splsda, diablo_proteomics"
A0A804KSR2,proteomics,2,False,False,0.0,,,,2,"proteomics_splsda, diablo_proteomics"
A0A4S8JRR3;A0A4S8JRR3;A0A804HWE9;A0A804JKF4,proteomics,2,False,False,0.0,,,,2,"proteomics_splsda, proteomics_ordinal"
A0A4S8I3R0;A0A4S8I3R0;A0A4S8I4D9;A0A4S8I4D9;A0A4S8I4Q2;A0A4S8I4Q2;A0A4S8I512;A0A4S8I512;A0A4S8I596;A0A4S8I596;A0A4S8K4E8;A0A4S8K4E8,proteomics,2,False,False,0.0,,,,2,"proteomics_splsda, diablo_proteomics"
A0A804LAG0,proteomics,2,False,False,0.0,,,,2,"proteomics_splsda, diablo_proteomics"
A0A4S8I761;A0A4S8I761;A0A804I6Q1,proteomics,2,False,False,0.0,,,,2,"proteomics_splsda, diablo_proteomics"
A0A4S8I1S0;A0A4S8I1S0;A0A4S8I227;A0A4S8I227,proteomics,2,False,False,0.0,,,,2,"proteomics_splsda, diablo_proteomics"
